name,role,resume
Candidate_729,Machine Learning Engineer,Machine Learning Engineer with 4 years experience in nlp deep learning python
Candidate_730,Business Analyst,Business Analyst with 3 years experience in reporting sql excel
Candidate_731,Machine Learning Engineer,Machine Learning Engineer with 3 years experience in deep learning keras tensorflow
Candidate_732,Business Analyst,Business Analyst with 3 years experience in dashboard sql analysis
Candidate_733,HR Manager,HR Manager with 5 years experience in hr analytics recruitment talent acquisition
Candidate_734,Frontend Developer,Frontend Developer with 4 years experience in css ui ux html
Candidate_735,Data Scientist,Data Scientist with 1 years experience in pandas numpy statistics
Candidate_736,Backend Developer,Backend Developer with 3 years experience in mongodb sql express
Candidate_737,Data Scientist,Data Scientist with 2 years experience in statistics numpy machine learning
Candidate_738,Software Engineer,Software Engineer with 1 years experience in microservices docker api
Candidate_739,Backend Developer,Backend Developer with 1 years experience in mongodb express api
Candidate_740,Machine Learning Engineer,Machine Learning Engineer with 1 years experience in keras nlp python
Candidate_741,AI Engineer,AI Engineer with 1 years experience in python transformers nlp
Candidate_742,Software Engineer,Software Engineer with 4 years experience in spring boot api docker
Candidate_743,AI Engineer,AI Engineer with 2 years experience in deep learning python llm
Candidate_744,Data Analyst,Data Analyst with 1 years experience in power bi sql excel
Candidate_745,Frontend Developer,Frontend Developer with 3 years experience in ui ux css javascript
Candidate_746,Backend Developer,Backend Developer with 3 years experience in api express sql
Candidate_747,HR Manager,HR Manager with 3 years experience in talent acquisition recruitment communication
Candidate_748,DevOps Engineer,DevOps Engineer with 4 years experience in aws linux kubernetes
Candidate_749,Software Engineer,Software Engineer with 2 years experience in spring boot docker api
Candidate_750,Data Scientist,Data Scientist with 5 years experience in numpy pandas python
Candidate_751,HR Manager,HR Manager with 3 years experience in communication recruitment talent acquisition
Candidate_752,HR Manager,HR Manager with 4 years experience in communication hr analytics talent acquisition
Candidate_753,Machine Learning Engineer,Machine Learning Engineer with 3 years experience in deep learning python tensorflow
Candidate_754,AI Engineer,AI Engineer with 1 years experience in nlp llm python
Candidate_755,Business Analyst,Business Analyst with 4 years experience in analysis reporting dashboard
Candidate_756,DevOps Engineer,DevOps Engineer with 2 years experience in linux kubernetes docker
Candidate_757,Data Analyst,Data Analyst with 2 years experience in excel power bi sql
Candidate_758,Machine Learning Engineer,Machine Learning Engineer with 1 years experience in python tensorflow keras
Candidate_759,Data Scientist,Data Scientist with 3 years experience in numpy statistics pandas
Candidate_760,Software Engineer,Software Engineer with 5 years experience in spring boot java api
Candidate_761,HR Manager,HR Manager with 4 years experience in hr analytics talent acquisition recruitment
Candidate_762,Data Analyst,Data Analyst with 3 years experience in tableau power bi sql
Candidate_763,HR Manager,HR Manager with 2 years experience in hr analytics communication recruitment
Candidate_764,Frontend Developer,Frontend Developer with 4 years experience in react javascript ui ux
Candidate_765,Machine Learning Engineer,Machine Learning Engineer with 5 years experience in deep learning nlp python
Candidate_766,AI Engineer,AI Engineer with 5 years experience in transformers python llm
Candidate_767,AI Engineer,AI Engineer with 3 years experience in transformers llm python
Candidate_768,Frontend Developer,Frontend Developer with 3 years experience in javascript ui ux css
Candidate_769,DevOps Engineer,DevOps Engineer with 3 years experience in docker linux aws
Candidate_770,Business Analyst,Business Analyst with 3 years experience in reporting excel sql
Candidate_771,Frontend Developer,Frontend Developer with 1 years experience in javascript ui ux react
Candidate_772,Data Analyst,Data Analyst with 1 years experience in sql excel power bi
Candidate_773,Data Scientist,Data Scientist with 3 years experience in pandas statistics python
Candidate_774,Business Analyst,Business Analyst with 1 years experience in excel sql analysis
Candidate_775,AI Engineer,AI Engineer with 2 years experience in nlp llm transformers
Candidate_776,HR Manager,HR Manager with 3 years experience in talent acquisition hr analytics communication
Candidate_777,Business Analyst,Business Analyst with 1 years experience in sql analysis excel
Candidate_778,HR Manager,HR Manager with 3 years experience in hr analytics recruitment communication
Candidate_779,Machine Learning Engineer,Machine Learning Engineer with 5 years experience in deep learning keras python
Candidate_780,DevOps Engineer,DevOps Engineer with 1 years experience in ci cd aws kubernetes
Candidate_781,HR Manager,HR Manager with 4 years experience in talent acquisition recruitment hr analytics
Candidate_782,DevOps Engineer,DevOps Engineer with 3 years experience in ci cd kubernetes aws
Candidate_783,AI Engineer,AI Engineer with 2 years experience in deep learning nlp transformers
Candidate_784,DevOps Engineer,DevOps Engineer with 2 years experience in kubernetes linux aws
Candidate_785,Data Analyst,Data Analyst with 4 years experience in power bi python sql
Candidate_786,HR Manager,HR Manager with 3 years experience in talent acquisition hr analytics communication
Candidate_787,DevOps Engineer,DevOps Engineer with 5 years experience in linux ci cd kubernetes
Candidate_788,Data Analyst,Data Analyst with 5 years experience in excel power bi tableau
Candidate_789,Machine Learning Engineer,Machine Learning Engineer with 5 years experience in deep learning python keras
Candidate_790,Software Engineer,Software Engineer with 3 years experience in spring boot java docker
Candidate_791,Backend Developer,Backend Developer with 3 years experience in express api sql
Candidate_792,Machine Learning Engineer,Machine Learning Engineer with 1 years experience in python deep learning keras
Candidate_793,Data Scientist,Data Scientist with 1 years experience in python statistics pandas
Candidate_794,HR Manager,HR Manager with 2 years experience in hr analytics recruitment communication
Candidate_795,Software Engineer,Software Engineer with 1 years experience in microservices api docker
Candidate_796,Frontend Developer,Frontend Developer with 5 years experience in ui ux css javascript
Candidate_797,Data Scientist,Data Scientist with 5 years experience in python pandas machine learning
Candidate_798,Machine Learning Engineer,Machine Learning Engineer with 2 years experience in tensorflow nlp python
Candidate_799,Machine Learning Engineer,Machine Learning Engineer with 1 years experience in nlp keras tensorflow
Candidate_800,Data Scientist,Data Scientist with 3 years experience in numpy machine learning statistics
Candidate_801,DevOps Engineer,DevOps Engineer with 1 years experience in kubernetes ci cd linux
Candidate_802,Machine Learning Engineer,Machine Learning Engineer with 1 years experience in nlp tensorflow keras
Candidate_803,Data Analyst,Data Analyst with 5 years experience in excel power bi tableau
Candidate_804,HR Manager,HR Manager with 3 years experience in recruitment communication hr analytics
Candidate_805,Frontend Developer,Frontend Developer with 1 years experience in javascript react css
Candidate_806,Software Engineer,Software Engineer with 2 years experience in spring boot microservices java
Candidate_807,Software Engineer,Software Engineer with 2 years experience in spring boot api java
Candidate_808,Frontend Developer,Frontend Developer with 2 years experience in ui ux javascript html
Candidate_809,Machine Learning Engineer,Machine Learning Engineer with 5 years experience in nlp python keras
Candidate_810,Software Engineer,Software Engineer with 1 years experience in microservices java spring boot
Candidate_811,Business Analyst,Business Analyst with 2 years experience in reporting excel analysis
Candidate_812,Machine Learning Engineer,Machine Learning Engineer with 4 years experience in nlp tensorflow python
Candidate_813,Frontend Developer,Frontend Developer with 4 years experience in javascript css ui ux
Candidate_814,AI Engineer,AI Engineer with 2 years experience in llm deep learning python
Candidate_815,Data Analyst,Data Analyst with 4 years experience in excel sql python
Candidate_816,Data Analyst,Data Analyst with 5 years experience in sql excel power bi
Candidate_817,Data Analyst,Data Analyst with 3 years experience in power bi sql python
Candidate_818,Software Engineer,Software Engineer with 1 years experience in microservices java docker
Candidate_819,DevOps Engineer,DevOps Engineer with 2 years experience in kubernetes ci cd aws
Candidate_820,Backend Developer,Backend Developer with 3 years experience in node js mongodb sql
Candidate_821,Business Analyst,Business Analyst with 3 years experience in analysis excel dashboard
Candidate_822,DevOps Engineer,DevOps Engineer with 2 years experience in ci cd linux kubernetes
Candidate_823,Data Scientist,Data Scientist with 1 years experience in python statistics pandas
Candidate_824,Data Scientist,Data Scientist with 2 years experience in numpy pandas statistics
Candidate_825,DevOps Engineer,DevOps Engineer with 2 years experience in aws linux kubernetes
Candidate_826,Frontend Developer,Frontend Developer with 4 years experience in ui ux javascript html
Candidate_827,Machine Learning Engineer,Machine Learning Engineer with 3 years experience in tensorflow python nlp
Candidate_828,Business Analyst,Business Analyst with 3 years experience in analysis reporting dashboard
Candidate_829,Data Analyst,Data Analyst with 1 years experience in sql tableau python
Candidate_830,Software Engineer,Software Engineer with 3 years experience in microservices docker spring boot
Candidate_831,DevOps Engineer,DevOps Engineer with 1 years experience in kubernetes docker linux
Candidate_832,AI Engineer,AI Engineer with 1 years experience in llm nlp python
Candidate_833,DevOps Engineer,DevOps Engineer with 2 years experience in ci cd kubernetes linux
Candidate_834,Frontend Developer,Frontend Developer with 1 years experience in ui ux css javascript
Candidate_835,Machine Learning Engineer,Machine Learning Engineer with 2 years experience in tensorflow keras deep learning
Candidate_836,Data Analyst,Data Analyst with 3 years experience in python sql tableau
Candidate_837,AI Engineer,AI Engineer with 5 years experience in llm transformers python
Candidate_838,Data Scientist,Data Scientist with 3 years experience in pandas numpy machine learning
Candidate_839,Backend Developer,Backend Developer with 5 years experience in express mongodb api
Candidate_840,Business Analyst,Business Analyst with 1 years experience in analysis reporting dashboard
Candidate_841,Business Analyst,Business Analyst with 5 years experience in dashboard reporting analysis
Candidate_842,Data Analyst,Data Analyst with 2 years experience in sql python power bi
Candidate_843,Frontend Developer,Frontend Developer with 5 years experience in css ui ux react
Candidate_844,Software Engineer,Software Engineer with 5 years experience in microservices spring boot docker
Candidate_845,DevOps Engineer,DevOps Engineer with 3 years experience in kubernetes ci cd docker
Candidate_846,Machine Learning Engineer,Machine Learning Engineer with 3 years experience in nlp keras python
Candidate_847,Frontend Developer,Frontend Developer with 4 years experience in javascript react css
Candidate_848,Data Analyst,Data Analyst with 1 years experience in tableau sql power bi
Candidate_849,Frontend Developer,Frontend Developer with 3 years experience in html javascript ui ux
Candidate_850,Software Engineer,Software Engineer with 3 years experience in spring boot microservices api
Candidate_851,Business Analyst,Business Analyst with 5 years experience in analysis dashboard reporting
Candidate_852,HR Manager,HR Manager with 2 years experience in recruitment hr analytics talent acquisition
Candidate_853,Data Scientist,Data Scientist with 4 years experience in python machine learning numpy
Candidate_854,Machine Learning Engineer,Machine Learning Engineer with 4 years experience in python tensorflow keras
Candidate_855,Data Scientist,Data Scientist with 3 years experience in statistics python numpy
Candidate_856,Machine Learning Engineer,Machine Learning Engineer with 4 years experience in tensorflow python keras
Candidate_857,Backend Developer,Backend Developer with 3 years experience in api node js express
Candidate_858,Data Scientist,Data Scientist with 2 years experience in machine learning statistics pandas
Candidate_859,Backend Developer,Backend Developer with 5 years experience in express sql api
Candidate_860,Frontend Developer,Frontend Developer with 4 years experience in ui ux javascript html
Candidate_861,HR Manager,HR Manager with 5 years experience in talent acquisition hr analytics recruitment
Candidate_862,Business Analyst,Business Analyst with 4 years experience in analysis dashboard sql
Candidate_863,Data Analyst,Data Analyst with 1 years experience in python sql tableau
Candidate_864,DevOps Engineer,DevOps Engineer with 2 years experience in ci cd docker linux
Candidate_865,AI Engineer,AI Engineer with 1 years experience in transformers deep learning python
Candidate_866,DevOps Engineer,DevOps Engineer with 1 years experience in docker linux ci cd
Candidate_867,DevOps Engineer,DevOps Engineer with 3 years experience in kubernetes linux aws
Candidate_868,Data Analyst,Data Analyst with 1 years experience in excel tableau sql
Candidate_869,DevOps Engineer,DevOps Engineer with 4 years experience in docker aws kubernetes
Candidate_870,Backend Developer,Backend Developer with 4 years experience in api mongodb sql
Candidate_871,Data Scientist,Data Scientist with 5 years experience in pandas numpy statistics
Candidate_872,Backend Developer,Backend Developer with 5 years experience in sql express node js
Candidate_873,Software Engineer,Software Engineer with 3 years experience in docker java microservices
Candidate_874,Machine Learning Engineer,Machine Learning Engineer with 4 years experience in python tensorflow keras
Candidate_875,Business Analyst,Business Analyst with 1 years experience in excel reporting analysis
Candidate_876,Software Engineer,Software Engineer with 5 years experience in java microservices spring boot
Candidate_877,Software Engineer,Software Engineer with 1 years experience in java docker spring boot
Candidate_878,Business Analyst,Business Analyst with 1 years experience in excel reporting analysis
Candidate_879,Machine Learning Engineer,Machine Learning Engineer with 3 years experience in tensorflow python deep learning
Candidate_880,AI Engineer,AI Engineer with 5 years experience in python nlp llm
Candidate_881,Backend Developer,Backend Developer with 3 years experience in api mongodb node js
Candidate_882,HR Manager,HR Manager with 4 years experience in communication recruitment talent acquisition
Candidate_883,HR Manager,HR Manager with 4 years experience in communication talent acquisition recruitment
Candidate_884,Software Engineer,Software Engineer with 1 years experience in docker api java
Candidate_885,Frontend Developer,Frontend Developer with 3 years experience in css javascript ui ux
Candidate_886,HR Manager,HR Manager with 2 years experience in recruitment hr analytics communication
Candidate_887,Frontend Developer,Frontend Developer with 3 years experience in ui ux react html
Candidate_888,Data Analyst,Data Analyst with 5 years experience in sql power bi tableau
Candidate_889,Backend Developer,Backend Developer with 5 years experience in node js express mongodb
Candidate_890,Business Analyst,Business Analyst with 3 years experience in reporting analysis excel
Candidate_891,AI Engineer,AI Engineer with 4 years experience in nlp llm deep learning
Candidate_892,DevOps Engineer,DevOps Engineer with 4 years experience in kubernetes ci cd aws
Candidate_893,Data Analyst,Data Analyst with 4 years experience in sql tableau excel
Candidate_894,Data Analyst,Data Analyst with 3 years experience in power bi tableau excel
Candidate_895,HR Manager,HR Manager with 3 years experience in talent acquisition recruitment hr analytics
Candidate_896,HR Manager,HR Manager with 2 years experience in hr analytics communication talent acquisition
Candidate_897,Software Engineer,Software Engineer with 4 years experience in docker microservices spring boot
Candidate_898,Machine Learning Engineer,Machine Learning Engineer with 2 years experience in keras nlp deep learning
Candidate_899,Business Analyst,Business Analyst with 1 years experience in excel dashboard analysis
Candidate_900,DevOps Engineer,DevOps Engineer with 1 years experience in docker aws linux
Candidate_901,DevOps Engineer,DevOps Engineer with 1 years experience in linux ci cd aws
Candidate_902,HR Manager,HR Manager with 3 years experience in talent acquisition communication hr analytics
Candidate_903,Machine Learning Engineer,Machine Learning Engineer with 5 years experience in python deep learning tensorflow
Candidate_904,Software Engineer,Software Engineer with 2 years experience in java microservices spring boot
Candidate_905,AI Engineer,AI Engineer with 4 years experience in llm deep learning nlp
Candidate_906,DevOps Engineer,DevOps Engineer with 4 years experience in kubernetes linux docker
Candidate_907,Business Analyst,Business Analyst with 2 years experience in excel analysis dashboard
Candidate_908,Software Engineer,Software Engineer with 4 years experience in docker java microservices
Candidate_909,Software Engineer,Software Engineer with 3 years experience in api docker spring boot
Candidate_910,Data Analyst,Data Analyst with 3 years experience in excel python power bi
Candidate_911,Backend Developer,Backend Developer with 2 years experience in node js mongodb express
Candidate_912,DevOps Engineer,DevOps Engineer with 4 years experience in kubernetes aws linux
Candidate_913,Data Scientist,Data Scientist with 4 years experience in pandas numpy python
Candidate_914,Software Engineer,Software Engineer with 2 years experience in microservices java docker
Candidate_915,AI Engineer,AI Engineer with 5 years experience in llm nlp python
Candidate_916,HR Manager,HR Manager with 1 years experience in recruitment talent acquisition hr analytics
Candidate_917,Data Analyst,Data Analyst with 1 years experience in sql tableau power bi
Candidate_918,HR Manager,HR Manager with 2 years experience in talent acquisition hr analytics communication
Candidate_919,DevOps Engineer,DevOps Engineer with 5 years experience in ci cd aws linux
Candidate_920,Software Engineer,Software Engineer with 5 years experience in spring boot api docker
Candidate_921,Business Analyst,Business Analyst with 5 years experience in reporting sql excel
Candidate_922,Data Analyst,Data Analyst with 4 years experience in excel python tableau
Candidate_923,Data Scientist,Data Scientist with 4 years experience in statistics numpy machine learning
Candidate_924,Data Analyst,Data Analyst with 4 years experience in sql python excel
Candidate_925,Backend Developer,Backend Developer with 1 years experience in express sql api
Candidate_926,Business Analyst,Business Analyst with 5 years experience in reporting dashboard analysis
Candidate_927,Business Analyst,Business Analyst with 5 years experience in excel dashboard analysis
Candidate_928,Backend Developer,Backend Developer with 5 years experience in sql node js api
Candidate_929,Data Analyst,Data Analyst with 3 years experience in python tableau excel
Candidate_930,Machine Learning Engineer,Machine Learning Engineer with 2 years experience in tensorflow keras deep learning
Candidate_931,Machine Learning Engineer,Machine Learning Engineer with 1 years experience in tensorflow deep learning python
Candidate_932,HR Manager,HR Manager with 1 years experience in talent acquisition communication hr analytics
Candidate_933,Data Analyst,Data Analyst with 4 years experience in excel power bi tableau
Candidate_934,HR Manager,HR Manager with 5 years experience in hr analytics recruitment talent acquisition
Candidate_935,Data Scientist,Data Scientist with 2 years experience in machine learning statistics pandas
Candidate_936,Software Engineer,Software Engineer with 1 years experience in java microservices spring boot
Candidate_937,HR Manager,HR Manager with 1 years experience in recruitment hr analytics communication
Candidate_938,Software Engineer,Software Engineer with 4 years experience in microservices spring boot docker
Candidate_939,Machine Learning Engineer,Machine Learning Engineer with 5 years experience in tensorflow keras nlp
Candidate_940,HR Manager,HR Manager with 4 years experience in hr analytics communication recruitment
Candidate_941,Software Engineer,Software Engineer with 4 years experience in java microservices docker
Candidate_942,Software Engineer,Software Engineer with 1 years experience in docker api java
Candidate_943,Machine Learning Engineer,Machine Learning Engineer with 1 years experience in nlp tensorflow keras
Candidate_944,Data Analyst,Data Analyst with 4 years experience in sql python tableau
Candidate_945,Data Scientist,Data Scientist with 1 years experience in statistics pandas machine learning
Candidate_946,Machine Learning Engineer,Machine Learning Engineer with 4 years experience in keras nlp tensorflow
Candidate_947,Data Scientist,Data Scientist with 4 years experience in pandas python statistics
Candidate_948,Data Scientist,Data Scientist with 3 years experience in statistics pandas python
Candidate_949,DevOps Engineer,DevOps Engineer with 3 years experience in ci cd aws docker
Candidate_950,Backend Developer,Backend Developer with 5 years experience in mongodb express node js
Candidate_951,DevOps Engineer,DevOps Engineer with 5 years experience in ci cd aws kubernetes
Candidate_952,Backend Developer,Backend Developer with 4 years experience in api sql node js
Candidate_953,DevOps Engineer,DevOps Engineer with 2 years experience in ci cd linux aws
Candidate_954,Software Engineer,Software Engineer with 5 years experience in java api microservices
Candidate_955,DevOps Engineer,DevOps Engineer with 4 years experience in aws kubernetes docker
Candidate_956,Frontend Developer,Frontend Developer with 2 years experience in css ui ux react
Candidate_957,Frontend Developer,Frontend Developer with 5 years experience in javascript css html
Candidate_958,DevOps Engineer,DevOps Engineer with 3 years experience in docker aws ci cd
Candidate_959,Frontend Developer,Frontend Developer with 3 years experience in javascript html css
Candidate_960,Business Analyst,Business Analyst with 5 years experience in reporting excel analysis
Candidate_961,Business Analyst,Business Analyst with 3 years experience in excel sql dashboard
Candidate_962,Frontend Developer,Frontend Developer with 2 years experience in ui ux html css
Candidate_963,HR Manager,HR Manager with 3 years experience in recruitment communication talent acquisition
Candidate_964,Software Engineer,Software Engineer with 4 years experience in java api docker
Candidate_965,HR Manager,HR Manager with 2 years experience in communication talent acquisition hr analytics
Candidate_966,DevOps Engineer,DevOps Engineer with 5 years experience in kubernetes docker aws
Candidate_967,DevOps Engineer,DevOps Engineer with 2 years experience in linux aws ci cd
Candidate_968,HR Manager,HR Manager with 5 years experience in hr analytics recruitment communication
Candidate_969,Business Analyst,Business Analyst with 4 years experience in analysis dashboard sql
Candidate_970,Software Engineer,Software Engineer with 1 years experience in java spring boot microservices
Candidate_971,Business Analyst,Business Analyst with 2 years experience in analysis sql excel
Candidate_972,Software Engineer,Software Engineer with 4 years experience in microservices java docker
Candidate_973,DevOps Engineer,DevOps Engineer with 4 years experience in aws ci cd kubernetes
Candidate_974,Frontend Developer,Frontend Developer with 5 years experience in javascript react css
Candidate_975,Frontend Developer,Frontend Developer with 5 years experience in css javascript ui ux
Candidate_976,Frontend Developer,Frontend Developer with 1 years experience in ui ux javascript html
Candidate_977,Business Analyst,Business Analyst with 5 years experience in analysis reporting dashboard
Candidate_978,DevOps Engineer,DevOps Engineer with 3 years experience in kubernetes docker aws
Candidate_979,Backend Developer,Backend Developer with 3 years experience in node js sql express
Candidate_980,Software Engineer,Software Engineer with 5 years experience in docker api microservices
Candidate_981,HR Manager,HR Manager with 4 years experience in communication hr analytics recruitment
Candidate_982,Data Scientist,Data Scientist with 2 years experience in machine learning numpy python
Candidate_983,Software Engineer,Software Engineer with 4 years experience in microservices api spring boot
Candidate_984,HR Manager,HR Manager with 4 years experience in communication talent acquisition hr analytics
Candidate_985,AI Engineer,AI Engineer with 1 years experience in python llm transformers
Candidate_986,Frontend Developer,Frontend Developer with 4 years experience in ui ux javascript html
Candidate_987,Backend Developer,Backend Developer with 3 years experience in mongodb sql express
Candidate_988,Data Scientist,Data Scientist with 4 years experience in statistics machine learning python
Candidate_989,Machine Learning Engineer,Machine Learning Engineer with 1 years experience in tensorflow deep learning keras
Candidate_990,Frontend Developer,Frontend Developer with 3 years experience in react css javascript
Candidate_991,Software Engineer,Software Engineer with 5 years experience in api microservices java
Candidate_992,Software Engineer,Software Engineer with 3 years experience in spring boot java docker
Candidate_993,Machine Learning Engineer,Machine Learning Engineer with 3 years experience in python keras deep learning
Candidate_994,Data Analyst,Data Analyst with 5 years experience in python sql excel
Candidate_995,Machine Learning Engineer,Machine Learning Engineer with 3 years experience in keras python tensorflow
Candidate_996,Software Engineer,Software Engineer with 3 years experience in spring boot api docker
Candidate_997,DevOps Engineer,DevOps Engineer with 2 years experience in docker ci cd kubernetes
Candidate_998,Business Analyst,Business Analyst with 5 years experience in sql excel analysis
Candidate_999,Business Analyst,Business Analyst with 2 years experience in reporting excel sql
